"de_para";"valor";
"CEI     000021 DINHEIRO";"devolução";
"TED 237.2846ANDRE N BARB";"salario";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONAUTO POSTO";"gasolina";
"INT ITAUCARD";"cartão credito";
"TBI 9293.22915-0/500";"resgate";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONFERNANDA GO";"compras";
"ELECTRONLOJAS AMERI";"compras";
"ELECTRONMC DONALDS";"alimentação";
"ELECTRONMERCPAGO";"alimentação";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONSONDA JACAN";"mercado";
"ELECTRONSONDA TREME";"mercado";
"SAQUE S/CARTAO 24H109864";"saque";
"SALDO DO DIA";"saldo";
"ELECTRONFCIA PAGUE";"alimentação";
"ELECTRONSONDA TREME";"mercado";
"SALDO DO DIA";"saldo";
"INT  PAG TIT BANCO 033";"boleto";
"INT  PAG TIT BANCO 237";"seguro";
"ELECTRONSILVIO NAKA";"compras";
"SALDO DO DIA";"saldo";
"ELECTRONTRIMAIS SUP";"mercado";
"SALDO DO DIA";"saldo";
"TBI 7633.10704-514522";"azul";
"SALDO DO DIA";"saldo";
"SAQUE 24H 10705093 25/10";"saque";
"ELECTRONBD";"compras";
"ELECTRONLOJAS AMERI";"compras";
"ELECTRONMOCOTO REST";"alimentação";
"SALDO DO DIA";"saldo";
"TBI 2959.24196-5     C/C";"reembolso";
"INT TED  554013 SEMI";"saldo";
"TBI 9293.22915-0/500";"resgate";
"TBI 9293.22915-0/500";"resgate";
"SALDO DO DIA";"saldo";
"TBI 0534.18071-6     C/C";"saldo";
"ELECTRONFCIA PAGUE";"compras";
"SALDO DO DIA";"saldo";
"SALDO ANTERIOR";"saldo";
"SAQUE 24H 13727318 01/11";"saque";
"ELECTRONFEIRANTE";"feira";
"ELECTRONOURINHOS SU";"mercado";
"ELECTRONOURINHOS SU";"mercado";
"ELECTRONPAG*CamilaT";"compras";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONSANDROHAIR";"cabeleireiro";
"ELECTRONSANDROHAIR";"cabeleireiro";
"ELECTRONSONDA JACAN";"mercado";
"ELECTRONSONDA TREME";"mercado";
"ELECTRONTRIMAIS SUP";"mercado";
"TED 237.2846ANDRE N BARB";"salario";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONDROGARIA PR";"farmacia";
"TAR PACOTE ITAU   OUT/20";"banco";
"SDO CTA/APL AUTOMATICAS";"saldo";
"TBI 0057.13714-3     C/C";"saque";
"ELECTRONFURACAO DA";"compras";
"ELECTRONRAIA 47";"farmacia";
"ELECTRONTRIMAIS SUP";"mercado";
"ELECTRONTRIMAIS SUP";"mercado";
"LIS/JUROS     17 DIAS";"juros";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONCANTAREIRA";"compras";
"SDO CTA/APL AUTOMATICAS";"saldo";
"INT PAG TIT 109027453506";"boleto";
"SAQUE 24H 17920331 08/11";"saque";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONBD";"compras";
"ELECTRONCARLOS REIS";"frango";
"ELECTRONCLAUDIA KAN";"compras";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONHABIBS";"alimentação";
"ELECTRONMEU CHAPA B";"alimentação";
"ELECTRONTRIMAIS SUP";"mercado";
"ELECTRONVALENS BAR";"compras";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SEGURO CARTAO";"banco";
"SDO CTA/APL AUTOMATICAS";"saldo";
"INT NEXTEL 9799999699806";"celular";
"ELECTRONCENTURY PAE";"padaria";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONMEU CHAPA B";"alimentação";
"ELECTRONSONEDA PERF";"compras";
"SALDO DO DIA";"saldo";
"ELECTRONPARK NOW ES";"boleto";
"ELECTRONTRIMAIS SUP";"mercado";
"DEB AUTOR UNICEF";"doação";
"SALDO DO DIA";"saldo";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONTRIMAIS SUP";"mercado";
"SALDO DO DIA";"saldo";
"SAQUE 24H 12468625 15/11";"saque";
"ELECTRONDONAJU";"compras";
"ELECTRONHABIBS";"alimentação";
"ELECTRONJAILSON BAL";"compras";
"ELECTRONLOJAS AMERI";"compras";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONPAG*HiroCal";"farmacia";
"ELECTRONPASTEIS NIS";"alimentação";
"ELECTRONRAIA 47";"farmacia";
"ELECTRONTRIMAIS SUP";"mercado";
"INT ITAUCARD";"cartão credito";
"TED 237.2846ANDRE N BARB";"salario";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONTRIMAIS SUP";"mercado";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONM A KOCH LA";"compras";
"ELECTRONPARK NOW ES";"boleto";
"ELECTRONSANTO GOLE";"boleto";
"ELECTRONTRIMAIS SUP";"mercado";
"ELECTRONTRIMAIS SUP";"mercado";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONTRIMAIS SUP";"mercado";
"TED 340.0000SAMUEL JOSE";"entrada";
"SDO CTA/APL AUTOMATICAS";"saldo";
"TBI 0747.56106-6     C/C";"deposito";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONBD";"compras";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONTRIMAIS SUP";"mercado";
"TBI 0747.56106-6     C/C";"deposito";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONARLINDO VAL";"compras";
"ELECTRONSANTANA DRI";"compras";
"ELECTRONJOHNNYS 535";"compras";
"ELECTRONPAG*CaioVin";"compras";
"ELECTRONMERCPAGO";"compras";
"ELECTRONMERCPAGO";"compras";
"ELECTRONMC DONALDS";"alimentação";
"SALDO DO DIA";"saldo";
"ELECTRONPLAYLAND -";"compras";
"ELECTRONSANTANA DRI";"compras";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONCANDYMELL";"compras";
"PIX TRANSF  FRANCIS26/11";"transferencia";
"PIX TRANSF  FRANCIS26/11";"transferencia";
"EST PIX TF  FRANCISCO";"estorno";
"EST PIX TF  FRANCISCO";"estorno";
"SDO CTA/APL AUTOMATICAS";"saldo";
"TBI 0745.13546-7     C/C";"transferencia";
"ELECTRONBD";"compras";
"ELECTRONTRIMAIS SUP";"mercado";
"BO  PROMOCAO PIX CADAST";"entrada";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONPARK PLACE";"estacionamento";
"ELECTRONHABIB S";"alimentação";
"SAQUE 24H 15720220 29/11";"feira";
"ELECTRONPAG*Frigott";"frango";
"TED 237.2846ANDRE N BA";"salario";
"SALDO DO DIA";"saldo";
"ELECTRONESTAPAR SHO";"estacionamento";
"PIX TRANSF  ALEXAND23/01";"cabeleireiro";
"INT PAG TIT 109046299963";"boleto";
"INT  PAG TIT BANCO 077";"juros";
"INT NEXTEL 9099999687157";"celular";
"SALDO ANTERIOR";"saldo";
"SAQUE 24H 12244067 31/01";"saque";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONAV ZACHI NA";"alimentação";
"ELECTRONBD";"agua";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONFERNANDA GO";"alimentação";
"ELECTRONPAG*Frigott";"frango";
"PIX TRANSF  ANDRE N31/01";"salario";
"PIX TRANSF  ANDRE N31/01";"salario";
"IOF";"banco";
"SDO CTA/APL AUTOMATICAS";"saldo";
"TBI 9293.22915-0/500";"poupança";
"ELECTRONTRIMAIS SUP";"mercado";
"PIX TRANSF  Ana Mar02/02";"benção";
"TED 237.0001BRADESCO SAU";"reembolso";
"TAR PACOTE ITAU   JAN/21";"banco";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONFARMAVAN XI";"farmacia";
"INT TED  467957";"seminario";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONBD";"agua";
"ELECTRONSALAO FERNA";"michelle";
"LIS/JUROS     24 DIAS";"banco";
"SDO CTA/APL AUTOMATICAS";"saldo";
"INT PAG TIT 109046299963";"condominio";
"INT  PAG TIT BANCO 077";"creche";
"INT NEXTEL 9099999687157";"celular";
"ELECTRONAUTO POSTO";"gasolina";
"ELECTRONBREADS VALL";"compras";
"ELECTRONCENTER CHIC";"compras";
"ELECTRONCONFECCOES";"compras";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONFERNANDA GO";"compras";
"ELECTRONFERNANDA GO";"compras";
"ELECTRONTRIMAIS SUP";"mercado";
"TED 237.0001BRADESCO SAU";"rembolso";
"PIX TRANSF  EDUARDO06/02";"tapete";
"SALDO DO DIA";"saldo";
"INT NEXTEL 9499999687161";"celular";
"ELECTRONDROGARIA PR";"farmacia";
"SALDO DO DIA";"saldo";
"SEGURO CARTAO";"banco";
"SALDO DO DIA";"saldo";
"INT PAG TIT 109006113573";"enfermagem";
"ELECTRONBD";"compras";
"ELECTRONTRIMAIS SUP";"mercado";
"DEB AUTOR UNICEF";"doação";
"SALDO DO DIA";"saldo";
"ELECTRONBETTER INFO";"compras";
"ELECTRONPAG*MONICAP";"compras";
"ELECTRONSONDA TREME";"mercado";
"ELECTRONTRIMAIS SUP";"mercado";
"SALDO DO DIA";"saldo";
"SAQUE 24H 11104585 14/02";"saque";
"ELECTRONBD";"agua";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONESPORT SCAP";"compras";
"ELECTRONHABIBS";"alimentação";
"ELECTRONIMW 3 R VIL";"alimentação";
"ELECTRONLOJAS RENNE";"roupa";
"ELECTRONPAES E DOCE";"padaria";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONPAG*MONICAP";"compras";
"ELECTRONPAG*Rufplas";"compras";
"ELECTRONPROMOFARMA";"farmacia";
"ELECTRONPROMOFARMA";"farmacia";
"ELECTRONTRIMAIS SUP";"mercado";
"ELECTRONTRIMAIS SUP";"mercado";
"ELECTRONTRIMAIS SUP";"mercado";
"INT ITAUCARD";"cartão credito";
"TBI 9293.22915-0/500";"retirada";
"PIX QRS CLAUDIO DOU13/02";"tapete";
"PIX TRANSF  ANDRE N15/02";"salario";
"SALDO DO DIA";"saldo";
"ELECTRONTRIMAIS SUP";"mercado";
"PIX TRANSF  ALEXAND18/02";"cabeleireiro";
"SALDO DO DIA";"saldo";
"ELECTRONCENTER CHIC";"compras";
"ELECTRONM A KOCH LA";"compras";
"ELECTRONPROMOFARMA";"farmacia";
"ELECTRONTRIMAIS SUP";"mercado";
"SALDO DO DIA";"saldo";
"SALDO ANTERIOR";"saldo";2021
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONM A KOCH LA";"compras";
"ELECTRONPANIFICADOR";"padaria";
"ELECTRONRAGAZZO";"alimentação";
"ELECTRONTRIMAIS SUP";"mercado";
"ELECTRONTRIMAIS SUP";"mercado";
"IOF";"banco";
"SALDO DO DIA";"saldo";
"INT  PAG TIT BANCO 077";"creche";
"LIS/JUROS     11 DIAS";"juros";
"TAR PACOTE ITAU   DEZ/20";"banco";
"SALDO DO DIA";"saldo";
"ELECTRONBD";"agua";
"ELECTRONDROGARIA PR";"farmacia";
"SALDO DO DIA";"saldo";
"INT NEXTEL 9899999691047";"celular";
"INT NEXTEL 9899999691090";"celular";
"ELECTRONMARIA ELENA";"compras";
"TED 237.2846ANDRE N BARB";"salario";
"SALDO DO DIA";"saldo";
"INT PAG TIT 109038470523";"condominio";
"SAQUE 24H 18100537";"compras";
"INT SEFAZ-SP/DARE 210590";"poupatempo rg";
"ELECTRONBD";"agua";
"ELECTRONDONAJU";"compras";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONDU MORBAII";"compras";
"ELECTRONEVANDRO G N";"compras";
"ELECTRONFURACAO DA";"compras";
"ELECTRONPAG*galasso";"feira";
"ELECTRONPAG*Rosange";"feira";
"ELECTRONPAG*SidneyD";"feira";
"ELECTRONPAG*Verdura";"feira";
"ELECTRONREINALDO DE";"frango";
"ELECTRONSILVIO NAKA";"compras";
"ELECTRONSONDA JACAN";"mercado";
"ELECTRONTRIMAIS SUP";"mercado";
"SEGURO CARTAO";"banco";
"DEB AUTOR UNICEF";"doação";
"SALDO DO DIA";"saldo";
"ELECTRONDROGARIA MA";"farmacia";
"ELECTRONMINI MERCAD";"mercado";
"ELECTRONPAG*Josisma";"mercado";
"ELECTRONTRIMAIS SUP";"mercado";
"SALDO DO DIA";"saldo";
"INT IPVA-SP HOH-6396";"multa";
"INT MULTA SP 31997756838";"multa";
"SALDO DO DIA";"saldo";
"ELECTRONDROGARIA SA";"farmacia";
"TED 237.2846ANDRE N BARB";"salario";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SAQUE 24H 11770278 17/01";"saque";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONESTAPAR SHO";"estacionamento";
"ELECTRONFENIX";"alimentação";
"ELECTRONLOJAS AMERI";"compras";
"ELECTRONLOUCADEMIA";"compras";
"ELECTRONMARELLAS CA";"compras";
"ELECTRONMARELLAS CA";"compras";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONSHOPPING CE";"compras";
"ELECTRONSONEDA PERF";"compras";
"ELECTRONTRIMAIS SUP";"mercado";
"ELECTRONTRIMAIS SUP";"mercado";
"ELECTRONTRIMAIS SUP";"mercado";
"ELECTRONYINGXUE MA";"mercado";
"INT ITAUCARD";"cartão credito";
"TBI 9293.22915-0/500";"resgate";
"SALDO DO DIA";"saldo";
"ELECTRONTRIMAIS SUP";"mercado";
"SALDO DO DIA";"saldo";
"ELECTRONTRIMAIS SUP";"mercado";
"SALDO DO DIA";"saldo";
"ELECTRONBD";"agua";
"ELECTRONPERFUMARIA";"compras";
"ELECTRONTRIMAIS SUP";"mercado";
"SALDO DO DIA";"saldo";
"SAQUE 24H 10758613 24/01";"saque";
"ELECTRONA POSTO JD";"compras";
"ELECTRONDROG SAO PA";"farmacia";
"ELECTRONFARMACIAS P";"farmacia";
"ELECTRONINDIGO";"compras";
"ELECTRONLILIANE AYU";"compras";
"ELECTRONMARGINAL GR";"lazer";
"ELECTRONPAG*galasso";"compras";
"ELECTRONPAG*galasso";"compras";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONRAVIOLITALI";"alimentação";
"ELECTRONTRIMAIS SUP";"mercado";
"ELECTRONTRIMAIS SUP";"mercado";
"PIX TRANSF  ALEXAND23/01";"cabeleireiro";
"TBI 0747.56106-6     C/C";"deposito";
"SALDO DO DIA";"saldo";
"ELECTRONFARMACIA IN";"farmacia";
"ELECTRONPAG*Farmaco";"farmacia";
"SALDO DO DIA";"saldo";
"ELECTRONAUTO POSTO";"gasolina";
"ELECTRONPROMOFARMA";"farmacia";
"ELECTRONRAIA 47";"farmacia";
"ELECTRONRIO CONTENS";"compras";
"SALDO DO DIA";"saldo";
"ELECTRONBD";"agua";
"ELECTRONPAG*MONICAP";"compras";
"SALDO ANTERIOR";"saldo";
"SAQUE 24H 12244067 31/01";"saque";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONAV ZACHI NA";"alimentação";
"ELECTRONBD";"agua";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONFERNANDA GO";"alimentação";
"ELECTRONPAG*Frigott";"frango";
"PIX TRANSF  ANDRE N31/01";"salario";
"PIX TRANSF  ANDRE N31/01";"salario";
"IOF";"banco";
"SDO CTA/APL AUTOMATICAS";"saldo";
"TBI 9293.22915-0/500";"poupança";
"ELECTRONTRIMAIS SUP";"mercado";
"PIX TRANSF  Ana Mar02/02";"benção";
"TED 237.0001BRADESCO SAU";"reembolso";
"TAR PACOTE ITAU   JAN/21";"banco";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONFARMAVAN XI";"farmacia";
"INT TED  467957";"seminario";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONBD";"agua";
"ELECTRONSALAO FERNA";"michelle";
"LIS/JUROS     24 DIAS";"banco";
"SDO CTA/APL AUTOMATICAS";"saldo";
"INT PAG TIT 109046299963";"condominio";
"INT  PAG TIT BANCO 077";"creche";
"INT NEXTEL 9099999687157";"celular";
"ELECTRONAUTO POSTO";"gasolina";
"ELECTRONBREADS VALL";"compras";
"ELECTRONCENTER CHIC";"compras";
"ELECTRONCONFECCOES";"compras";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONFERNANDA GO";"compras";
"ELECTRONFERNANDA GO";"compras";
"ELECTRONTRIMAIS SUP";"mercado";
"TED 237.0001BRADESCO SAU";"rembolso";
"PIX TRANSF  EDUARDO06/02";"tapete";
"SALDO DO DIA";"saldo";
"INT NEXTEL 9499999687161";"celular";
"ELECTRONDROGARIA PR";"farmacia";
"SALDO DO DIA";"saldo";
"SEGURO CARTAO";"banco";
"SALDO DO DIA";"saldo";
"INT PAG TIT 109006113573";"enfermagem";
"ELECTRONBD";"compras";
"ELECTRONTRIMAIS SUP";"mercado";
"DEB AUTOR UNICEF";"doação";
"SALDO DO DIA";"saldo";
"ELECTRONBETTER INFO";"compras";
"ELECTRONPAG*MONICAP";"compras";
"ELECTRONSONDA TREME";"mercado";
"ELECTRONTRIMAIS SUP";"mercado";
"SALDO DO DIA";"saldo";
"SAQUE 24H 11104585 14/02";"saque";
"ELECTRONBD";"agua";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONESPORT SCAP";"compras";
"ELECTRONHABIBS";"alimentação";
"ELECTRONIMW 3 R VIL";"alimentação";
"ELECTRONLOJAS RENNE";"roupa";
"ELECTRONPAES E DOCE";"padaria";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONPAG*MONICAP";"compras";
"ELECTRONPAG*Rufplas";"compras";
"ELECTRONPROMOFARMA";"farmacia";
"ELECTRONPROMOFARMA";"farmacia";
"ELECTRONTRIMAIS SUP";"mercado";
"ELECTRONTRIMAIS SUP";"mercado";
"ELECTRONTRIMAIS SUP";"mercado";
"INT ITAUCARD";"cartão credito";
"TBI 9293.22915-0/500";"retirada";
"PIX QRS CLAUDIO DOU13/02";"tapete";
"PIX TRANSF  ANDRE N15/02";"salario";
"SALDO DO DIA";"saldo";
"ELECTRONTRIMAIS SUP";"mercado";
"PIX TRANSF  ALEXAND18/02";"cabeleireiro";
"SALDO DO DIA";"saldo";
"ELECTRONCENTER CHIC";"compras";
"ELECTRONM A KOCH LA";"compras";
"ELECTRONPROMOFARMA";"farmacia";
"ELECTRONTRIMAIS SUP";"mercado";
"SALDO DO DIA";"saldo";
"SAQUE 24H 12763504 21/02";"saque";
"ELECTRONDONAJU";"compras";
"ELECTRONHABIB S";"alimentação";
"ELECTRONMERCPAGO";"alimentação";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONR C P FARMA";"farmacia";
"ELECTRONSONEDA PERF";"compras";
"PIX TRANSF  ANDRE N21/02";"compras";
"SALDO DO DIA";"saldo";
"ELECTRONSONDA TREME";"mercado";
"SALDO DO DIA";"saldo";
"ELECTRONPARK NOW ES";"estacionamento";
"SALDO DO DIA";"saldo";
"ELECTRONJEFFERSON*j";"compras";
"ELECTRONPAG*galasso";"compras";
"ELECTRONPASTEIS SON";"compras";
"ELECTRONROSANGELA F";"compras";
"ELECTRONTRIMAIS SUP";"mercado";
"SALDO DO DIA";"saldo";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONTRIMAIS SUP";"mercado";
"SALDO DO DIA";"saldo";
"SALDO ANTERIOR";"saldo";
"SAQUE 24H 11833548 28/02";"saque";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONFARMACIAS P";"compras";
"ELECTRONMEU CHAPA B";"alimentação";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONPAG*Geraldo";"compras";
"ELECTRONPROMOFARMA";"farmacia";
"ELECTRONR C P FARMA";"farmacia";
"ELECTRONW PAPER";"compras";
"PIX TRANSF  ANDRE N27/02";"salario";
"IOF";"banco";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONPAG*MONICAP";"compras";
"ELECTRONTRIMAIS II";"mercado";
"TAR PACOTE ITAU   FEV/21";"banco";
"SDO CTA/APL AUTOMATICAS";"saldo";
"INT PAG TIT 109006113581";"enfermagem";
"INT PAG TIT 109049905525";"condominio";
"ELECTRONPAG*DirceYu";"compras";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SAQUE 24H 10024040";"saque";
"ELECTRONCENTAURO SH";"natação";
"ELECTRONPAG*MONICAP";"compras";
"PIX TRANSF  MICHELL04/03";"michelle";
"SDO CTA/APL AUTOMATICAS";"saldo";
"LIS/JUROS     21 DIAS";"banco";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SAQUE 24H 16333155 07/03";"saque";
"ELECTRONBD";"compras";
"ELECTRONFENIX";"compras";
"ELECTRONLOUCADEMIA";"alimentação";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONSONDA JACAN";"mercado";
"ELECTRONTRIMAIS II";"mercado";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SEGURO CARTAO";"banco";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONPROMOFARMA";"farmacia";
"ELECTRONTRIMAIS II";"mercado";
"ELECTRONTRIMAIS II";"mercado";
"SDO CTA/APL AUTOMATICAS";"saldo";
"INT NEXTEL 9299999684097";"celular";
"INT NEXTEL 9899999684073";"celular";
"PIX TRANSF  IGREJA 12/03";"seminario";
"SALDO ANTERIOR";"saldo";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONLOJAS AMERI";"compras";
"SDO CTA/APL AUTOMATICAS";"saldo";
"INT PAG TIT 109054906699";"condominio";
"TBI 9293.22915-0/500";"resgate";
"INT NEXTEL 9099999679470";"celular";
"INT NEXTEL 9099999679474";"celular";
"PIX TRANSF  ALEXAND03/04";"cabeleireiro";
"PIX TRANSF  Bruna R03/04";"doação";
"PIX TRANSF  JONAS A05/04";"alimentação";
"TAR PACOTE ITAU   MAR/21";"banco";
"REND PAGO APLIC AUT MAIS";"saldo";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SDO CTA/APL AUTOMATICAS";"saldo";
"INT PAG TIT 109006113599";"enfermagem";
"ELECTRONTRIMAIS II";"mercado";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SAQUE 24H 11261716 11/04";"saque";
"SAQUE 24H 13658083 11/04";"saque";
"ELECTRONAUTO POSTO";"gasolina";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONPAG*Josisma";"alimentação";
"SEGURO CARTAO";"banco";
"DEB AUTOR UNICEF";"doação";
"SALDO DO DIA";"saldo";
"ELECTRONARIZONA PAE";"padaria";
"PIX TRANSF  ESPACO 14/04";"creche";
"SALDO DO DIA";"saldo";
"PIX TRANSF  IMW 3 R15/04";"igreja";
"TED 237.0001BRADESCO SAU";"rembolso";
"PIX TRANSF  ANDRE N15/04";"compras";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONTRIMAIS II";"mercado";
"INT ITAUCARD";"cartão credito";
